L.,CIDADE,SIGLA,ENDEREÇO,UF,FONE,CEP,COD OBRA,CNPJ,INSCR. ESTAD,Ordens de Serviço,KM IDA E VOLTA,PEDÁGIO IDA E VOLTA
129,Poços de Caldas,129 - PCALDA - Poços de Caldas,"Rua: Assis Figueiredo, 977 - Centro",MG,(035) 3713-8031,37.701-000,130008,56.642.960/0131-98,518.649.701.1042,POÇOS DE CALDAS (https://www.notion.so/20cc9fc3742541538f1b8bddcd498da1?pvs=21),370,"R$ 81,20"
130,Peruíbe,130 - PERUIB - Peruíbe,"Av.: Domingos da Costa Grimaldi, 41 - Centro","SP ",(013) 3453 - 5294,11.750-000,20692,56.642.960/0132-79,524.093.519.118,PERUIBE (https://www.notion.so/c4fe3e52571b4c49bf19c6894840fb62?pvs=21),700,"R$ 132,40"
131,Piedade,131 - PIEDAD - Piedade,"Rua: Araújo Leite, 115 - Centro","SP ",(015) 3344-2980,18.170-000,127112,56.642.960/0133-50,526.081.990.111,,,
132,Mesquita,132 - MESQUI - Mesquita,"Rua Mister Wartkins, 60 - Centro",RJ,(021) 2607-0943,26.553-090,126678,56.642.960/0134-30,77.686.690,,,
133,Seropédica,133 - SEROP - Seropédica,"Av.: Ministro Fernando Costa, 619 - Fazenda Caxias",RJ,(021) 2682-1589,23.890-000,135711,56.642.960/0136-00,77.715.444,,,
134,Caieiras,134 - CAIEIR - Caieiras,"Av. 14 de Dezembro, 21 – Região Central","SP ",(011) 4442-1515,07.700-170,89223,56.642.960/0135-11,239.077.780.118,,,
135,Passos,135 - PASSOS - Passos,"Av.dos Expedicionários, 97 - Centro",MG,(035) 3526-1192,37.900-130,130004,56.642.960/0137-83,479.649.701.1192,,,
136,Artur Nogueira,136 - ANOGUE - Artur Nogueira,"Rua 7 de Setembro, 1500 - Centro","SP ",(019) 3827-1667,13.160-000,133582,56.642.960/0140-89,187.082.566.113,,,
137,São Paulo,137 - SPTREM - São Paulo,"R. Coronel Valfredo de Campos, 10 - Vila Mazzei","SP ",(011) 2204-7904,02.315-060,135730,56.642.960/0139-45,116.838.765.116,,,
138,Porto Feliz,138 - PFELIZ - Porto Feliz,"Rua Altino Arantes, 130 - Centro","SP ",(015) 3261-4486,18.540-000,87810,56.642.960/0141-60,554.091.807.115,PORTO FELIZ (https://www.notion.so/58585c96b40a4d41a258da1d732d6319?pvs=21),200,"R$ 36,00"
139,Paranaguá,139 - PARGUA - Paranaguá,"Travessa Correia de Freitas, 89 - Centro",PR,(041) 3424-8697,83.203-260,206207,56.642.960/0142-40,90.318.661-51,,,
140,Praia Grande,140 - PRAGRA - Praia Grande,"Av. Presidente Costa e Silva, 395 - Boqueirão","SP ",(013) 3473-9800,11.701-000,20664,56.642.960/0138-64,558.187.872.114,,,
141,São Paulo,141 - SPPERU - São Paulo,"Av. Dr. Sylvio de Campos, 380 - Vila Perus","SP ",(011) 3919-3569,05.204-000,88051,56.642.960/0144-02,116.915.022.113,,,
142,Araucária,142 - ARAUCA - Araucária,"Rua Pres. Carlos Cavalcanti, 165 - Centro",PR,(041) 552-3584,83.702-470,272934,56.642.960/0143-21,90.321.560-77,,,
143,Cabreúva,143 - CABJAC - Cabreúva,"Av. São Paulo, 626 - Jacaré","SP ",(011) 4529-6133,13.318-000,133611,56.642.960/0145-93,233.076.300.119,,,
144,São Paulo,144 - SPSAP - São Paulo,"Av. Sapopemba, 8327 - Jd. Adutora","SP ",(011) 6702-8884,03.988-010,89310,56.642.960/0146-74,116.931.589.112,,,
145,Guaxupé,145 - GUAXUP - Guaxupé,"Av. Conde Ribeiro do Valle, 400 - Centro",MG,(035) 3551-5955,37.800-000,130003,56.642.960/0147-55,287.649.701.1293,,,
146,Cajamar,146 - CAJAMA - Cajamar,"Av. Vereador Joaquim Pereira Barbosa, 210 – Jordanésia","SP ",(011) 4447-2784,07.776-450,94017,56.642.960/0148-36,241.082.156.118,,,
147,Taboão da Serra,147 - TABOAO - Taboão da Serra,"Rod. Regis Bittencourt, 51 - Centro","SP ",(011) 4771-2312,06.768-000,87739,56.642.960/0149-17,675.149.832.119,TABOÃO SERRA (https://www.notion.so/da5fb6fa9d8e48f4ab46b831204c986a?pvs=21),380,"R$ 93,40"
148,São Paulo,148 - SPVCAR - São Paulo,"Av. Conselheiro Carrão, 2100 - Vila Carrão","SP ",(011) 6191-8828,03.403-002,88026,56.642.960/0150-50,117.047.761.116,VILA CARRÃO (https://www.notion.so/7d1de3542c2b4338a4e8f1b4ff360263?pvs=21),390,"R$ 87,70"
149,Marília,149 - MARILA - Marília,"Rua São Luiz, 943 - Centro","SP ",(014) 3422-2592,17.500-002,128570,56.642.960/0127-01,438.225.077.114,MARILIA CT (https://www.notion.so/549574b261984000b730fd13185dae63?pvs=21),570,"R$ 127,00"
150,São Paulo,150 - SPTUVI - São Paulo,"Av. Tucuruvi, 330 - Tucuruvi","SP ",(011) 6261-5961,02.304-000,118709,56.642.960/0153-01,117.121.711.119,TUCURUVI (https://www.notion.so/16e12400f546450299266cc00ab37a4b?pvs=21),380,"R$ 87,40"
151,Porto Ferreira,151 - PFERRE - Porto Ferreira,"Praça Cornélio Procópio, 21 - Centro","SP ",(019) 3589-2100,13.660-000,89296,56.642.960/0154-84,555.115.737.118,,,
152,São Paulo,152 - SPCTIR - São Paulo,"Av. Souza Ramos, 245 - Guaianazes","SP ",(011) 6285-2644,08.490-490,88528,56.642.960/0152-12,117.119.512.115,TIRADENTES (https://www.notion.so/fe898f57e63b418482ed9a73ae3fa2c4?pvs=21),520,"R$ 87,40"
153,Ribeirão Pires,153 - RPIRES - Ribeirão Pires,"Rua João Domingues de Oliveira, 301 - Centro","SP ",(011) 4825-9258,09.400-250,88600,56.642.960/0155-65,581.136.515.110,,,
154,Mongaguá,154 - MONGAG - Mongaguá,"Av. Dr. Getúlio Vargas, 255 - Centro","SP ",(013) 3507-4882,11.730-000,88604,56.642.960/0151-31,459.085.993.118,MONGAGUA (https://www.notion.so/d9ae8fae21a34cd08767b71ea5e1b068?pvs=21),600,"R$ 132,40"
155,Cerquilho,155 - CERQUI - Cerquilho,"Rua da Paineira, 15 - Centro","SP ",(015) 3284-2902,18.520-000,89306,56.642.960/0156-46,265.092.764.115,"CERQUILHO (https://www.notion.so/80cacf450c9041dcaf91b28cdaa9f622?pvs=21), CERQUILHO (https://www.notion.so/ea349b2eb81649d9b6638a5b33e1569b?pvs=21)",210,"R$ 41,40"
156,Itupeva,156 - ITUPVA - Itupeva,"Rua Jundiaí, 70 - Centro","SP ",(011) 4496-5213,13.295-000,118357,56.642.960/0157-27,388.076.650.115,ITUPEVA (https://www.notion.so/eceffdf1915342cca8fced47559d2555?pvs=21),260,"R$ 62,60"
157,Matão,157 - MATAO - Matão,"Rua João Pessoa, 1085 - Centro","SP ",(016) 3394-3741,15.990-020,103286,56.642.960/0158-08,441.108.894.110,MATÃO  (https://www.notion.so/92994de0917b4f37921bab07b24480f1?pvs=21),270,"R$ 72,60"
158,Monte Alto,158 - MONTAL - Monte Alto,"Rua Nhonhô do Livramento, 1954 - Centro","SP ",(016) 3242-8438,15.910-000,109764,56.642.960/0160-22,461.101.291.116,,,
159,Jardinópolis,159 - JARDIN - Jardinópolis,"Praça N. Srª Aparecida, 80 - Centro","SP ",(016) 3663-6800,14.680-000,94013,56.642.960/0159-99,399.082.070.114,JARDINOPOLIS (https://www.notion.so/24e826fa0b054d5cbbf3cad26ef70e8d?pvs=21),370,"R$ 80,62"
160,Cachoeira Paulista,160 - CACHOP - Cachoeira Paulista,"Rua Bernardino de Campos, 330 - Centro","SP ",(012) 3101-1290,12.630-000,88539,56.642.960/0161-03,235.080.786.116,CACHOEIRA PAULISTA (https://www.notion.so/7fa367091e6643a3bcab35acfb5e4d8b?pvs=21),690,"R$ 148,40"
161,Casa Branca,161 - CASABR - Casa Branca,"Rua Cel. José Júlio, 700 - Centro","SP ",(019) 3671-6068,13.700-000,20697,56.642.960/0162-94,257.096.755.116,,,
162,Pedreira,162 - PEDREI - Pedreira,"Rua XV de Novembro, 756 - Centro","SP ",(019) 3893-1440,13.920-000,87293,56.642.960/0164-56,519.101.855.111,,,
163,Pederneiras,163 - PEDERN - Pederneiras,"Rua Nove de Julho, 125 - Centro","SP ",(014) 3284-5324,17.280-000,89298,56.642.960/0163-75,515.084.185.110,PEDERNEIRAS (https://www.notion.so/46e2fb975e2748c1af3c926e27236e2d?pvs=21),302,"R$ 83,60"
164,Ouro Fino,164 - OUROFI - Ouro Fino,"Rua Major Sebastião Pires, 197 - Centro",MG,(035) 3441-5613,37.570-000,88037,56.642.960/0165-37,525.649.701.1393,,,
165,Mogi das Cruzes,165 - MGCBRA - Mogi das Cruzes,"Av. Francisco Ferreira Lopes, 2615 - Vila Jundiaí","SP ",(011) 4735-4616,08.745-000,20689,56.642.960/0167-07,454.333.181.112,MOGI C. B. CUBAS (https://www.notion.so/ba31912912ce4dc2801b28efb1fdfe6f?pvs=21),462,"R$ 97,80"
166,Vargem Gde. do Sul,166 - VARGSU - Vargem Gde. do Sul,"Pça. Capitão João Pinto Fontão,11 - Centro","SP ",(019) 3641-3607,13.880-000,87799,56.642.960/0166-18,711.116.289.119,,,
167,Sta. Rita do Sapucaí,167 - SRITSA - Sta. Rita do Sapucaí,"Rua Silvestre Ferraz, 161 - Centro",MG,(035) 3471-5166,37.540-000,135717,56.642.960/0169-60,525.649.701.1474,SANTA RITA DO SAPUCAI (https://www.notion.so/2be09ccc51764755962963bb9ac9b55e?pvs=21),480,"R$ 114,00"
168,Boituva,168 - BOITUV - Boituva,"Rua Cel. Eugênio Motta,  457 - Centro","SP ",(015) 3268-2866,18.550-000,133607,56.642.960/0168-80,219.096.627.115,BOITUVA (https://www.notion.so/4bfab5da65d74489a914a9b4da49db71?pvs=21),250,"R$ 41,40"
169,Praia Grande,169 - CIDOCI - Praia Grande,"Av. Presidente Kennedy, 7358 - Cidade Ocian","SP ",(013) 3472-3517,11.705-000,20670,56.642.960/0170-02,558.221.690.111,PRAIA GDE OCIAN (https://www.notion.so/0ee78fd550c04341b898ef257a9dbf20?pvs=21),500,"R$ 122,70"
170,Indaiatuba,170 - INDSOL - Indaiatuba,"Av. Francisco de Paula Leite, 1.144 - Santa Cruz","SP ",(019) 3875-8796,13.345-360,88534,56.642.960/0172-66,353.253.884.116,,,
171,Salto de Pirapora,171 - SALPIR - Salto de Pirapora,"Pça. Elpídio Marcello, 300 - Centro","SP ",(015) 3292-4064,18.160-000,135722,56.642.960/0173-47,602.074.284.118,SALTO PIRAPORA (https://www.notion.so/57a406f4058849c89b3698e5586e16cf?pvs=21),332,"R$ 53,60"
172,Laranjal Paulista,172 - LARANP - Laranjal Paulista,"Rua Dr. Oscar Vieira Sampaio, 123 - Centro","SP ",(015) 3283-2809,18.500-000,129815,56.642.960/0171-85,412.085.862.114,,,
173,Aparecida,173 - APARNO - Aparecida,"Rua Barão do Rio Branco, 543 - Centro","SP ",(012) 3108-1506,12.570-000,88533,56.642.960/0174-28,174.153.682.117,,,
174,São Joaquim da Barra,174 - SJBARR - São Joaquim da Barra,"Rua São Paulo, 1.270 - Centro","SP ",(016) 3811-2100,14.600-000,123627,56.642.960/0176-90,642.101.868.111,,,
175,Novo Horizonte,175 - NHORIZ - Novo Horizonte,"Rua Trajano Machado, 653 - Centro","SP ",(017) 3542-3599,14.960-000,122743,56.642.960/0175-09,483.107.274.118,NOVO HORIZONTE (https://www.notion.so/3a5f095cfd2f4f07bb5a2587f42b985e?pvs=21),468,"R$ 89,60"
176,Agudos,176 - AGUDOS - Agudos,"Rua 13 de Maio, 543 - Centro","SP ",(014) 3262-3560,17.120-009,89224,56.642.960/0178-51,156.083.659.117,,,
177,Guariba,177 - GUARIB - Guariba,"Rua Sampaio Vidal, 445 - Centro","SP ",(016) 3251-2221,14.840-000,128561,56.642.960/0177-70,334.078.120.111,,,
178,Bariri,178 - BARIRI - Bariri,"Av. XV de Novembro, 944 - Centro","SP ",(014) 3662-1757,17.250-000,120199,56.642.960/0179-32,201.097.506.119,,,
179,Cambuí,179 - CAMBUÍ - Cambuí,"Av. Do Carmo, 541 - Centro",MG,(035) 3431-3260,37.600-000,133623,56.642.960/0182-38,525.649.701.1547,CAMBUI (https://www.notion.so/1da3f011ac63440bb18aba11dbf80765?pvs=21),470,"R$ 97,20"
180,Itu,180 - ITUJOA - Itu,"Rua Joaquim Bernardes Borges,824 - Centro","SP ",(011) 4024-1764,13.300-025,264385,56.642.960/0181-57,387.203.295.117,ITU 180 (https://www.notion.so/dbd29344228343fab1d34b339bff00d5?pvs=21),240,"R$ 45,00"
181,Vargem Gde Paulista,181 - VARGPA - Vargem Gde Paulista,"Av. Presidente Tancredo Neves,556 - Centro","SP ",(011) 4159-4917,06.730-000,166330,56.642.960/0180-76,720.074.238.118,,,
182,Tremembé,182 - TREMBE - Tremembé,"R: 7 de Setembro, 521 centro","SP ",(012) 3674-1383,12.120-000,93988,56.642.960/0184-08,695.078.364.113,,,
183,Itu,183 - ITUNOV - Itu,"R: Joaquim Delfino Da Silva, 11 – Jd. Europa","SP ",(011) 4019-2980,13.308-450,722665,56.642.960/0185-80,387.208.933.112,ITU 183 (https://www.notion.so/22dc2156c09746d9b96435a6cff498d4?pvs=21),260,"R$ 45,00"
184,Socorro,184 - SOCORO - Socorro,"Rua 13 de Maio, 11 – Centro","SP ",(019) 3895-3188,13.960-000,135723,56.642.960/0187-42,668.120.025.115,SOCORRO (https://www.notion.so/8cb3d95595d942e28778df8f86afb9b5?pvs=21),280,"R$ 58,80"
185,Descalvado,185 - DESCAL - Descalvado,"Av. Arthur Whitaker, 645 – Centro","SP ",(019) 3583-8845,13.690-000,113505,56.642.960/0186-61,285.099.541.112,DESCALVADO (https://www.notion.so/6dfb9a730081444c9b4ce3895af82329?pvs=21),200,"R$ 32,80"
186,Cajati,186 - CAJATI - Cajati,"Rua Fernando Costa, 415 – Centro","SP ",(013) 3851-4660,11.950-000,133631,56.642.960/0189-04,740.008.773.113,CAJATI (https://www.notion.so/e6a8650d559947d8882b5d8f343c885c?pvs=21),770,"R$ 125,40"
187,Batatais,187 - BATAT - Batatais,"Rua Santos Dumont, 64 – Centro","SP ",(016) 3662-5658,14.300-093,133605,56.642.960/0183-19,208.121.787.112,,,
188,Embu Guaçu,188 - EMBUG - Embu Guaçu,"Rua Boa Vista, 180 – Centro","SP ",(011) 4661-4193,06.900-000,133642,56.642.960/0188-23,299.000.490.111,,,
189,Arcos,189 - ARCOS - Arcos,"Rua Jarbas Ferreira Pires, 423 – Centro",MG,(037) 3351-4830,35.588-000,133581,56.642.960/0190-48,525.649.701.1628,,,
190,Machado,190 - MACHAD - Machado,"Av. Barão do Rio Branco, 140 – Centro",MG,(035) 3295-8408,37.750-000,135653,56.642.960/0191-29,525.649.701.1709,,,
191,São Pedro,191 - SPEDRO - São Pedro,"Rua Veríssimo Prado, 141 – Santa Cruz","SP ",(019) 3481-3696,13.520-000,165974,56.642.960/0192-00,651.024.240.119,,,
192,Sorocaba,192 - SORIVU - Sorocaba,"Av. Itavuvu, 409 – Vila Olímpia","SP ",(015) 3233-6902,18.075-042,661119,56.642.960/0193-90,669.415.047.110,,,
193,Igaraçu do Tietê,193 - IGTIET - Igaraçu do Tietê,"Rua Pereira Rezende, 757 – Centro","SP ",(014) 3644-4612,17.350-000,167303,56.642.960/0194-71,348.012.711.110,,,
194,Taquarituba,194 - TAQTUB - Taquarituba,"Rua Dr. Ataliba Leonel, 708 – Centro","SP ",(014) 3762-3669,18.740-000,210996,56.642.960/0196-33,685.018.011.118,TAQUARITUBA (https://www.notion.so/6e47e56e6dfe42bcbb7298b3b311993f?pvs=21),504,"R$ 63,20"
195,Sta Cruz Palmeiras,195 - SCPALM - Sta Cruz Palmeiras,"Rua XV de Novembro, 448 – Centro","SP "," (018) 3362-1936",13.650-000,129170,56.642.960/0195-52,611.017.563.110,,,
196,Lagoa da Prata,196 - LAGPRA - Lagoa da Prata,"Av. Benedito Valadares, 897 – Centro",MG,(037) 3261-1670,35.590-000,260027,56.642.960/0197-14,525.649.701.1881,LAGOA PRATA (https://www.notion.so/333fa203deeb406699b74a4e37aff0f1?pvs=21),920,"R$ 73,00"
197,Extrema,197 - EXTREM - Extrema,"Rua Governador Valadares, 177 – Centro",MG,(035) 3435-3433,37.640-000,200333,56.642.960/0198-03,525.649.701.1962,,,
198,Sorocaba,198 - SOREDE - Sorocaba,"Avenida Independência, 4970 – Éden","SP ",(015) 3225-3394,18.103-000,196809,56.642.960/0200-54,669.695.226.112,SOROCABA EDEM (https://www.notion.so/34beda24c53b429f8a0de1b379d97e5a?pvs=21),310,"R$ 53,60"
199,Pinhais,199 - PINHAI - Pinhais,"Avenida Iraí, 493 – Weissópolis",PR,(041) 3668-5168,83.321-000,231552,56.642.960/0199-86,90.597.686-94,,,
200,Salto,200 - SALMAR - Salto,"Av. José Maria Marques de Oliveira, 759 – Vila Norma","SP ",(011) 4021-5261,13.327-300,87302,56.642.960/0201-35,600.070.608.114,SALTO BR (https://www.notion.so/d41c8538457c4ae295e797f9d1f2e74c?pvs=21),230,"R$ 45,00"
201,Hortolândia,201 - HORTAM - Hortolândia,"R: Pedro Vilas Boas, 870 – Jd. Amanda II","SP ",(019) 3819-2758,13.188-172,192048,56.642.960/0202-16,748.067.937.110,HORTOLANDIA JD AMANADA (https://www.notion.so/b316a76f58b04b81ab743cf16592ef8a?pvs=21),170,"R$ 38,20"
202,Ibaté,202 - IBATE - Ibaté,"Av. São João, 1118 – Centro","SP ",(016) 3343-5146,14.815-000,274260,56.642.960/0204-88,341.017.300.118,IBATÉ (https://www.notion.so/db05ec9904e145eeb68e1a1f57aa48cb?pvs=21),160,"R$ 32,80"
203,Louveira,203 - LOUVEI - Louveira,"Av. Ricieri Chiquetto, 84 – Santo Antonio ","SP ",C,13.290-000,214290,56.642.960/0203-05,421.020.069.113,,,
204,Ourinhos,204 - OURIN - Ourinhos,"Av. 9 de Julho, 76 – Centro","SP ",(014) 3322-1911,19.900-070,257111,56.642.960/0206-40,495.100.093.118,,,
205,Rio das Pedras,205 - RIOPED - Rio das Pedras,"Rua Prudente de Moraes, 17 – Centro","SP ",(019) 3493-5097,13.390-000,282123,56.642.960/0205-69,588.019.203.112,,,
206,Piracicaba,206 - PITERE - Piracicaba,"Rua Virgilio da Silva Fagundes, 300 – Santa Terezinha","SP ",(019) 3425-1954,13.411-083,251109,56.642.960/0207-20,535.312.129.111,,,
207,Rio Claro,207 - CLACER - Rio Claro,"Rua 6, 199 – Jd. Chervesson","SP ",(019) 3524-4721,13.505-430,263096,56.642.960/0209-92,587.175.266.118,,,
208,Pouso Alegre,208 - POUSOL - Pouso Alegre,"Rua Prefeito Olavo Gomes de Oliveira, 1991 – Jd. Olimpico",MG,(035) 3422-3117,37.550-000,221931,56.642.960/0210-26,525.649.701.2047,,,
209,Pontal,209 - PONTAL - Pontal,"Rua Ananias Costa Freitas, 414 – Centro","SP ",(016) 3953-7078,14.180-000,213466,56.642.960/0208-01,550.023.904.115,,,
210,Boa Esperança,210 - BOAESP - Boa Esperança,"Rua 02 de Novembro, 95 – Centro",MG,(035) 3851-3223,37.170-000,259791,56.642.960/0211-07,525.649.701.2128,,,
211,Mairinque,211 - MAIRIN - Mairinque,"Rua Julio Prestes de Albuquerque, 51 – Centro","SP ",(011) 4708-7697,18.120-000,252670,56.642.960/0213-79,432.036.245.117,,,
212,Itápolis,212 - ITAPOL - Itápolis,"Rua Barão do Rio Branco, 677 – Centro","SP ",(016) 3262-7330,14.900-000,284633,56.642.960/0214-50,375.046.135.116,,,
213,Iperó,213 - IPERO - Iperó,"Av.: Dr. José Marques Penteado, 218 – Centro","SP ",(015) 3266-2407,18.560-000,342969,56.642.960/0215-30,358.015.012.116,,,
214,Itatiaia,214 - ITATIA - Itatiaia,"Rua Prefeito Assumpção, 307 – Centro",RJ,(024) 3352-6356,27.580-000,238527,56.642.960/0216-11	,86.544.920,,,
215,Cotia,215 - COTCAU - Cotia,"Av. Inocêncio Pires de Oliveira, 176 – Centro (C. do Alto)","SP ",(011) 4611-4104,06.725-105,166502,56.642.960/0217-00,278.204.548.112,,,
216,Santa Gertrudes,216 - SGERT - Santa Gertrudes,"Avenida 01, 400 – Centro","SP ",(019) 3545-2872,13.510-000,359052,56.642.960/0218-83,615.016.000.114,,,
217,Guaira,217 - GUAIRA - Guaira,"Avenida 11, 392 – Centro","SP ",(017) 3331-7033,14.790-000,392554,56.642.960/0219-64,322.042.056.111,,,
218,Serrana,218 - SERANA - Serrana,"Rua Nossa Senhora das Dores, 402 – Centro","SP ",(016) 3489-3256,14.150-000,328131,56.642.960/0220-06,663.034.798.115,SERRANA (https://www.notion.so/afe9756a45fe402fbe6e4e108e5f3f16?pvs=21),340,"R$ 80,60"
219,Suzano,219 - SUZBEN - Suzano,"Avenida Francisco Marengo, 2041 - Jd. Dona Benta","SP ",(011) 4752-4404,08.694-520,280778,56.642.960/0221-89,672.271.804.114,,,
220,B. Jesus dos Perdões,220 - BJPERD - B. Jesus dos Perdões,"Avenida Santos Dumont, 615 – Centro","SP ",(011) 4012-4611,12.955-000,335702,56.642.960/0222-60,220.018.867.119,,,
221,Brotas,221 - BROTAS - Brotas,"Av. Rodolpho Guimarães, 244 – Centro","SP ",(014) 3653-8684,17.380-000,278106,56.642.960/0223-40,228.023.790.110,,,
222,Caraguatatuba,222 - CARAIN - Caraguatatuba,"Av. Rio Branco, 1615 – Indaia","SP ",(012) 3887-1518,11.665-600,331757,56.642.960/0224-21,254.153.614.111,,,
223,Mogi Guaçu,223 - MGGALM - Mogi Guaçu,"Av. dos Trabalhadores, 3.550 – Jardim Almira","SP ",(019) 3861-1871,13.847-040,329492,56.642.960/0225-02,455.140.155.114,,,
224,Sorocaba,224 - SORLIM - Sorocaba,"Av. Prof. Izoraida Marques Peres, 183 – Parque Campolim","SP ",(015) 3233-7650,18.048-110,307771,56.642.960/0226-93,669.872.076.117,,,
225,Resende,225 - RESEAL - Resende,"Rua José Zolvino Coutinho, 157 – Nova Resende",RJ,(024) 3355-0502,27.521-760,378558,56.642.960/0228-55,86.896.176,,,
226,Ituverava,226 - ITUVER - Ituverava,"Av. Dr. José Anibal Soares de Oliveira, 561 – Centro","SP ",(016) 3729-6866,14.500-000,404350,56.642.960/0227-74,389.046.499.112,,,
227,Dois Córregos,227 - DOISCO - Dois Córregos,"Praça Arthur de Carvalho, 189 – Centro","SP ",(014) 3652-1757,17.300-000,402953,56.642.960/0229-36,289.029.431.118,,,
228,São Vicente,228 - SVICON - São Vicente,"Av. Deputado Ulisses Guimarães, 1524 – Jd. Rio Branco","SP ",(013) 3566-0978,11.347-000,333520,56.642.960/0230-70,657.308.621.115,,,
229,Mirassol,229 - MIRASS - Mirassol,"Praça Dr. Anísio José Moreira, 20-69 – Centro","SP ",(017) 3242-8779,15.130-065,463970,56.642.960/0231-50,451.067.579.114,,,
230,Angra dos Reis,230 - ANGMAM - Angra dos Reis,"Rua Pres. Getulio Vargas, 1374 – Parque Mambucaba ",RJ,(024) 3362-4623,"23.954-095 ",363309,56.642.960/0232-31,87.023.494,ANGRA REIS BR (https://www.notion.so/6a48030bfc65494494f39653da44a302?pvs=21),1050,"R$ 170,60"
231,Ibitinga,231 - IBITIN - Ibitinga,"Rua Treze de Maio, 789 – Centro","SP ",(016) 3341-3754,14.940-000,448807,56.642.960/0234-01,344.095.301.114,,,
232,Engenheiro Coelho,232 - ENGECO - Engenheiro Coelho,"Rua Amadeu Jorge Teresani, 98 – Jd. Amalia","SP ",(019) 3857-2031,13.165-000,359049,56.642.960/0233-12,745.014.638.115,ENGENHEIRO COELHO (https://www.notion.so/77af979d804f451b87cc769a7afb8bb6?pvs=21),110,"R$ 39,00"
233,São Carlos,233 - SCAPRA - São Carlos,"Av. Sallum, 787 – Vila Prado","SP ",(016) 3501-1104,13.574-040,342546,56.642.960/0235-84,637.370.980.111,,,
234,Ponta Grossa,234 - PGRORA - Ponta Grossa,"Rua Nicolau Kluppel Neto, 517 – Chapada",PR,(042) 3236-3668,84.062-112,406778,56.642.960/0236-65,90.710.140-18,,,
235,José Bonifácio,235 - JBONIF - José Bonifácio,"Praça Marechal Deodoro Fonseca, 187 – Centro","SP ",(017) 3245-5203,15.200-000,465200,56.642.960/0237-46,405.047.170.112,JOSÉ BONIFACIO (https://www.notion.so/055238e7e9824e05a605469646ab2e28?pvs=21),570,"R$ 149,80"
236,Araçoiaba da Serra,236 - ARACSE - Araçoiaba da Serra,"Rua Professor Toledo, 22 – Centro","SP ",(015) 3281-5227,18.190-000,407913,56.642.960/0239-08,178.027.343.118,,,
237,Penápolis,237 - PENAP - Penápolis,"Av. Luiz Osório, 747 – Centro","SP ",(018) 3652-5456,16.300-013,471223,56.642.960/0238-27,521.084.537.111,,,
238,Bertioga,238 - BERTIO - Bertioga,"Av. Anchieta, 2138 – Centro","SP ",(013) 3317-1677,11.250-360,436692,56.642.960/0240-41,738.046.592.115,BERTIOGA (https://www.notion.so/e77a9eaf739444d58a00c5b77647c60f?pvs=21),570,"R$ 97,80"
239,Promissão,239 - PROMIS - Promissão,"Rua Olivio Pereira Ramos, 125 – Centro","SP ",(014) 3541-2656,16.370-000,471447,56.642.960/0241-22,564.043.771.118,PROMISSÃO (https://www.notion.so/51b942df7cc0404c923a3bece8b39c70?pvs=21),620,"R$ 131,20"
240,Conchal,240 - CONCHA - Conchal,"Rua Antonio Bueno de Moraes, 384 – Vila Aparecida","SP ",(019) 3866-2509,13.835-000,436108,56.642.960/0242-03,270.028.927.112,,,
241,Américo Brasiliense,241 - ABRASI - Américo Brasiliense,"Av. Joaquim Afonso da Costa, 89 – Bela Vista","SP ",(016) 3396-8916,14.820-000,430517,56.642.960/0243-94,166.033.200.115,,,
242,Jundiaí,242 - JUNDCE - Jundiaí,"Rua Barão de Jundiaí, 923 – Centro","SP ",(011) 4521-4198,13.201-012,402027,56.642.960/0245-56,407.577.557.111,,,
243,Aguai,243 - AGUAI - Aguai,"Rua Major Braga, 560 – Centro","SP ",(019) 3652-1663,13.860-000,472129,56.642.960/0244-75,152.039.878.119,,,
244,Mogi das Cruzes,244 - MGCCES - Mogi das Cruzes,"Av. Ricieri José Marcatto, 1105 – Vila Suissa","SP ",(011) 4761-6766,08.810-020,423787,56.642.960/0246-37,454.512.731.118,,,
245,Jundiaí,245 - JUNDVA - Jundiaí,"Rua Vigário João José Rodrigues, 43 – Centro","SP ",(011) 4526-3248,13.201-001,461804,56.642.960/0212-98,407.329.386.110,JUNDIAI 245 (https://www.notion.so/b925fedbd69047bda1c5479a8c765690?pvs=21),250,"R$ 62,60"
246,Lins,246 - LINS - Lins,"Rua Sete de Setembro, 161 – Centro","SP ",(014) 3523-9874,16.400-025,487347,56.642.960/0247-18,419.101.376.114,,,
247,Sumaré,247 - SUMMAT - Sumaré,"Av. Emílio Bosco, 1101 – Jd. Morumbi (Nova Veneza)","SP ",(019) 3864-9262,13.180-000,450131,56.642.960/0249-80,671.332.614.114,SUMARÉ BR (https://www.notion.so/1216d36936784b34885f4508342e0fe1?pvs=21),190,"R$ 38,20"
248,Americana,248 - AMEZAN - Americana,"Av. Cecília Meirelles, 170 – Jd. Nossa Sra. Aparecida","SP ",(019) 3469-4072,13.474-470,522427,56.642.960/0248-07,165.414.501.110,,,
249,Angatuba,249 - ANGATU - Angatuba,"Rua Tenente José Marcos de Albuquerque, 190 – Centro","SP ",(015) 3355-0227,18.240-000,546233,56.642.960/0251-02,171.036.230.114,,,
250,Piraju,250 - PIRAJU - Piraju,"Av. Dr. Domingos Theodoro Gallo, 178 – Centro","SP ",(014) 3351-1054,18.800-000,499956,56.642.960/0250-13,537.049.294.110,,,
